,TENANT_ID,NET_SALES
404,OBM00007,780.95
405,OBM00007,283.09
406,OBM00007,87.86
407,OBM00007,214.76
408,OBM00007,97.62
409,OBM00007,97.62
410,OBM00007,429.52
411,OBM00007,43.92
412,OBM00007,224.52
413,OBM00007,50.0
414,OBM00007,43.92
415,OBM00007,87.86
416,OBM00007,224.52
417,OBM00007,331.9
418,OBM00007,430.71
419,OBM00007,214.76
420,OBM00007,224.52
421,OBM00007,214.76
422,OBM00007,100.0
423,OBM00007,234.29
424,OBM00007,331.9
425,OBM00007,497.87
426,OBM00007,214.76
427,OBM00007,100.0
428,OBM00007,331.9
429,OBM00007,214.76
430,OBM00007,117.14
431,OBM00007,175.72
432,OBM00007,50.0
433,OBM00007,50.0
434,OBM00007,234.29
435,OBM00007,87.86
436,OBM00007,117.14
437,OBM00007,117.14
438,OBM00007,117.14
439,OBM00007,117.14
440,OBM00007,214.76
441,OBM00007,214.76
442,OBM00007,117.14
443,OBM00007,263.57
444,OBM00007,214.76
445,OBM00007,50.0
446,OBM00007,117.14
447,OBM00007,214.76
448,OBM00007,616.19
449,OBM00007,68.33
450,OBM00007,278.21
451,OBM00007,234.29
452,OBM00007,214.76
453,OBM00007,263.57
454,OBM00007,644.29
455,OBM00007,43.92
456,OBM00007,331.9
457,OBM00007,234.29
458,OBM00007,50.0
459,OBM00007,552.54
460,OBM00007,117.14
461,OBM00007,234.29
462,OBM00007,449.05
463,OBM00007,97.62
464,OBM00007,263.56
465,OBM00007,224.52
466,OBM00007,50.0
467,OBM00007,50.0
468,OBM00007,214.76
469,OBM00007,87.86
470,OBM00007,214.76
471,OBM00007,264.76
472,OBM00007,214.76
473,OBM00007,117.14
474,OBM00007,87.86
475,OBM00007,214.76
476,OBM00007,283.09
477,OBM00007,273.34
478,OBM00007,821.18
479,OBM00007,258.69
480,OBM00007,175.72
481,OBM00007,214.76
482,OBM00007,331.9
483,OBM00007,234.28
484,OBM00007,156.19
485,OBM00007,214.76
486,OBM00007,117.14
487,OBM00007,283.09
488,OBM00007,97.62
489,OBM00007,331.9
490,OBM00007,97.62
491,OBM00007,341.65
492,OBM00007,713.6
493,OBM00007,419.76
494,OBM00007,50.0
495,OBM00007,224.52
496,OBM00007,87.86
497,OBM00007,644.29
498,OBM00007,50.0
499,OBM00007,50.0
500,OBM00007,150.0
501,OBM00007,214.76
502,OBM00007,175.72
503,OBM00007,87.86
504,OBM00007,331.9
505,OBM00007,205.0
506,OBM00007,546.66
507,OBM00007,214.76
508,OBM00007,87.86
509,OBM00007,214.76
510,OBM00007,214.76
511,OBM00007,87.86
512,OBM00007,146.42
513,OBM00007,117.14
514,OBM00007,307.49
515,OBM00007,429.52
516,OBM00007,331.9
517,OBM00007,97.62
518,OBM00007,50.0
519,OBM00007,653.06
520,OBM00007,331.9
521,OBM00007,331.9
522,OBM00007,258.69
523,OBM00007,263.57
524,OBM00007,440.27
525,OBM00007,58.58
526,OBM00007,234.29
527,OBM00007,87.86
528,OBM00007,117.14
529,OBM00007,263.57
530,OBM00007,497.85
531,OBM00007,258.69
532,OBM00007,214.76
533,OBM00007,273.34
534,OBM00007,50.0
535,OBM00007,234.29
536,OBM00007,146.42
537,OBM00007,400.23
538,OBM00007,224.52
539,OBM00007,97.62
540,OBM00007,214.76
541,OBM00007,87.86
542,OBM00007,840.51
543,OBM00007,314.76
